QuadTree,Dim,N,K,Time
QuadTree,2,100000,100,22163
QuadTree,2,100000,200,31640
QuadTree,2,100000,300,39413
QuadTree,2,100000,400,46489
QuadTree,2,100000,500,52573
QuadTree,2,100000,600,57966
QuadTree,2,100000,700,62099
QuadTree,2,200000,100,31522
QuadTree,2,200000,200,44682
QuadTree,2,200000,300,54839
QuadTree,2,200000,400,63478
QuadTree,2,200000,500,70668
QuadTree,2,200000,600,78281
QuadTree,2,200000,700,85048
QuadTree,2,300000,100,40986
QuadTree,2,300000,200,58936
QuadTree,2,300000,300,73005
QuadTree,2,300000,400,85218
QuadTree,2,300000,500,96269
QuadTree,2,300000,600,106474
QuadTree,2,300000,700,115766
QuadTree,2,400000,100,50707
QuadTree,2,400000,200,72339
QuadTree,2,400000,300,89670
QuadTree,2,400000,400,104518
QuadTree,2,400000,500,116954
QuadTree,2,400000,600,130193
QuadTree,2,400000,700,141642
QuadTree,2,500000,100,57009
QuadTree,2,500000,200,80670
QuadTree,2,500000,300,98950
QuadTree,2,500000,400,115028
QuadTree,2,500000,500,127666
QuadTree,2,500000,600,141177
QuadTree,2,500000,700,153031
QuadTree,2,600000,100,64430
QuadTree,2,600000,200,90736
QuadTree,2,600000,300,112031
QuadTree,2,600000,400,128721
QuadTree,2,600000,500,143087
QuadTree,2,600000,600,157623
QuadTree,2,600000,700,170719
QuadTree,2,700000,100,70053
QuadTree,2,700000,200,98722
QuadTree,2,700000,300,120932
QuadTree,2,700000,400,138769
QuadTree,2,700000,500,167436
QuadTree,2,700000,600,172954
QuadTree,2,700000,700,187646
